symbol,name,market,asset_type,currency,broker,tradability,nisa_category,investment_style,is_sbi_supported,is_active,is_leveraged,is_inverse,theme,sector,aliases,dividend_category,market_cap_tier,index_family,expense_ratio_pct,complexity,tags,data_quality,risk_band,metadata_source,metadata_as_of,metadata_updated_at,yahoo_symbol,yahoo_symbol_status,yahoo_symbol_checked_at,yahoo_symbol_note,country,exchange,local_symbol,primary_listing_country,trading_currency,settlement_currency,quote_currency,fx_pair_to_jpy,foreign_market_group,country_risk_band,liquidity_tier,foreign_data_quality,foreign_data_quality_reasons,sbi_foreign_tradability,sbi_foreign_tradability_as_of,sbi_foreign_tradability_source,sbi_tradability_status,sbi_tradability_verified,sbi_tradability_as_of,sbi_tradability_source,source_section,source_market,source_industry,source_description,source_url
00014.HK,ハイサンDevelop. ハイサン ディベロップメント,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00014;ハイサンDevelop. ハイサン ディベロップメント;不動産投資・管理・開発;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0014.HK,generated,,,Hong Kong,HKEX,00014,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,不動産投資・管理・開発,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00016.HK,サンフンカイプロ サンフンカイ プロパティーズ,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00016;サンフンカイプロ サンフンカイ プロパティーズ;販売;賃貸向けの不動産開発・投資;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0016.HK,generated,,,Hong Kong,HKEX,00016,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,販売、賃貸向けの不動産開発・投資,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00017.HK,新世界発展 ニューワールド ディベロップメント,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00017;新世界発展 ニューワールド ディベロップメント;不動産投資;開発に従事。その他契約工事;道路インフラ建設;ホテル経営など;総合,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0017.HK,generated,,,Hong Kong,HKEX,00017,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,総合,不動産投資、開発に従事。その他契約工事、道路インフラ建設、ホテル経営など,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00018.HK,東方伝媒集団 オリエンタル メディア グループ,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,balanced,consumer,00018;東方伝媒集団 オリエンタル メディア グループ;香港最大の新聞グループ。主要なウェブサイトとモバイルアプリケーションを所有。;メディア・出版,none,,,,standard,balanced,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0018.HK,generated,,,Hong Kong,HKEX,00018,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,メディア・出版,香港最大の新聞グループ。主要なウェブサイトとモバイルアプリケーションを所有。,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00019.HK,スワイヤ A スワイヤ パシフィック エー,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,balanced,consumer,00019;スワイヤ A スワイヤ パシフィック エー;140年の歴史を誇る香港地盤のコングロマリット大手;総合,none,,,,standard,balanced,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0019.HK,generated,,,Hong Kong,HKEX,00019,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,総合,140年の歴史を誇る香港地盤のコングロマリット大手,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00020.HK,センスタイム センスタイム グループ,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,technology,technology,00020;センスタイム センスタイム グループ;情報技術サービスを提供;通信・技術,none,,,,standard,technology,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0020.HK,generated,,,Hong Kong,HKEX,00020,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,通信・技術,情報技術サービスを提供,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00021.HK,大中華控股 グレート チャイナ ホールディングス,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00021;大中華控股 グレート チャイナ ホールディングス;不動産投資;開発;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0021.HK,generated,,,Hong Kong,HKEX,00021,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,不動産投資、開発,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00022.HK,茂盛控股(Mexan) メクサン,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00022;茂盛控股(Mexan) メクサン;ホテル経営及び貸金業;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0022.HK,generated,,,Hong Kong,HKEX,00022,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,ホテル経営及び貸金業,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00023.HK,東亜銀行(BoEA) バンク オブ イーストアジア,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,bank,financial,00023;東亜銀行(BoEA) バンク オブ イーストアジア;銀行及び関連金融サービス;IRサービスなど;銀行,none,,,,standard,bank,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0023.HK,generated,,,Hong Kong,HKEX,00023,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,銀行,銀行及び関連金融サービス、IRサービスなど,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00025.HK,其士国際集団 シェバリエインターナショナル,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,technology,technology,00025;其士国際集団 シェバリエインターナショナル;建築;エンジニアリング;ホテル経営やITなど;建設・ビル建材,none,,,,standard,technology,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0025.HK,generated,,,Hong Kong,HKEX,00025,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,建設・ビル建材,建築、エンジニアリング、ホテル経営やITなど,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00026.HK,中華汽車 チャイナモーターバス,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00026;中華汽車 チャイナモーターバス;不動産開発・投資;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0026.HK,generated,,,Hong Kong,HKEX,00026,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,不動産開発・投資,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00027.HK,銀河娯楽 ギャラクシーエンターテイメント,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,consumer,consumer,00027;銀河娯楽 ギャラクシーエンターテイメント;マカオでのカジノ経営が主要ビジネス;観光・ホテル・飲食店,none,,,,standard,consumer,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0027.HK,generated,,,Hong Kong,HKEX,00027,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,観光・ホテル・飲食店,マカオでのカジノ経営が主要ビジネス,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00028.HK,天安中国 ティエンアン,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00028;天安中国 ティエンアン;不動産開発・投資。そのほか建材販売;ゴルフ場経営;ホテル及び不動産管理など;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0028.HK,generated,,,Hong Kong,HKEX,00028,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,不動産開発・投資。そのほか建材販売、ゴルフ場経営、ホテル及び不動産管理など,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00029.HK,達力集団 ダイナミックホールディングス,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00029;達力集団 ダイナミックホールディングス;不動産投資・開発;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0029.HK,generated,,,Hong Kong,HKEX,00029,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,不動産投資・開発,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00030.HK,雲白国際 ワイエヌビーワイ インターナショナル,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,financial,financial,00030;雲白国際 ワイエヌビーワイ インターナショナル;香港の金融情報サービスベンダー。証券取引支援システム開発;通信・技術,none,,,,standard,financial,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0030.HK,generated,,,Hong Kong,HKEX,00030,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,通信・技術,香港の金融情報サービスベンダー。証券取引支援システム開発,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00031.HK,中国航天国際 チャイナエアロスペース,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,technology,technology,00031;中国航天国際 チャイナエアロスペース;プラスチック製品;液晶パネル;プリント基板;インテリジェント・チャージャー（充電器）の製造販売等を手掛ける;電気・電子,none,,,,standard,technology,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0031.HK,generated,,,Hong Kong,HKEX,00031,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,電気・電子,プラスチック製品、液晶パネル、プリント基板、インテリジェント・チャージャー（充電器）の製造販売等を手掛ける,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00032.HK,港通控股 クロスハーバー,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,automotive,consumer,00032;港通控股 クロスハーバー;自動車学校経営;有料道路の料金徴収システムなどの設置;その他,none,,,,standard,automotive,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0032.HK,generated,,,Hong Kong,HKEX,00032,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,その他,自動車学校経営、有料道路の料金徴収システムなどの設置,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00033.HK,Intl Genius インターナショナル ジーニアス,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,financial,financial,00033;Intl Genius インターナショナル ジーニアス;投資持株会社。中国本土で信用保証や投資事業などを展開;金融,none,,,,standard,financial,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0033.HK,generated,,,Hong Kong,HKEX,00033,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,金融,投資持株会社。中国本土で信用保証や投資事業などを展開,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00034.HK,九龍建業 カオルーン デベロップメント,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,financial,financial,00034;九龍建業 カオルーン デベロップメント;不動産投資・開発;証券投資など;不動産,none,,,,standard,financial,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0034.HK,generated,,,Hong Kong,HKEX,00034,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,不動産投資・開発、証券投資など,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00035.HK,遠東発展 ファーイーストコンソーシアム,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00035;遠東発展 ファーイーストコンソーシアム;不動産投資・開発;資産投資;株式売買;ホテル経営;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0035.HK,generated,,,Hong Kong,HKEX,00035,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,不動産投資・開発、資産投資、株式売買、ホテル経営,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00036.HK,遠東控股国際 ファーイースト ホールディングス,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,financial,financial,00036;遠東控股国際 ファーイースト ホールディングス;不動産開発及び投資;証券投資;アパレル製造・販売など;企業連合,none,,,,standard,financial,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0036.HK,generated,,,Hong Kong,HKEX,00036,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,企業連合,不動産開発及び投資、証券投資、アパレル製造・販売など,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00037.HK,遠東酒店実業 ファーイースト ホテル,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,financial,financial,00037;遠東酒店実業 ファーイースト ホテル;不動産投資;ホテル経営;証券取引など;観光・ホテル・飲食店,none,,,,standard,financial,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.422621+09:00,0037.HK,generated,,,Hong Kong,HKEX,00037,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,観光・ホテル・飲食店,不動産投資、ホテル経営、証券取引など,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
