symbol,name,market,asset_type,currency,index_family,expense_ratio_pct,complexity,tags,nisa_category,investment_style,is_leveraged,is_inverse,aliases
ALTY,グローバルX スーパーディビィデンド-オルタナティブズ ETF,us,etf,USD,dividend,0.50,beginner,low_cost,,both,false,false,グローバルX スーパーディビィデンド-オルタナティブズ ETF Indxx スーパーディビィデンド オルタナティブ インデックスに連動した成果を目指す。
AMZD,Direxion デイリー AMZN株 ベア 1倍ETF,us,etf,USD,single_stock,1.07,inverse,,,lump_sum,false,true,Direxion デイリー AMZN株 ベア 1倍ETF アマゾン・ドットコム・インク普通株式の日々のパフォーマンスの-100％の日々の投資成果を追求する。
AMZU,Direxion デイリー AMZN株 ブル 2倍 ETF,us,etf,USD,single_stock,1.06,leveraged,,,lump_sum,true,false,Direxion デイリー AMZN株 ブル 2倍 ETF アマゾン・ドットコム・インク普通株式の日々のパフォーマンスの150％の日々の投資成果を追求する。
AVUS,アバンティス US エクイティ ETF,us,etf,USD,small_us,0.15,beginner,low_cost,growth,both,false,false,アバンティス US エクイティ ETF 高リターンが期待できる米国の大型・中型・小型企業に幅広く分散投資を行います。
AVGU,グラナイトS 2倍 ロング AVGO デイリーETF,us,etf,USD,single_stock,1.50,leveraged,,,lump_sum,true,false,グラナイトS 2倍 ロング AVGO デイリーETF ブロードコム(NASDAQ: AVGO)の日次変動率の2倍（200％）の投資成果を目指す。
AVUV,アバンティス US スモールキャップ バリュー ETF,us,etf,USD,small_us,0.25,beginner,low_cost,growth,both,false,false,アバンティス US スモールキャップ バリュー ETF 高リターンが期待できる米国小型企業に投資します。集中投資リスクを軽減するために、幅広いセクターおよび業種の企業に分散投資を行います。
AVDE,アバンティス インターナショナル エクイティ ETF,us,etf,USD,small_us,0.23,beginner,low_cost,growth,both,false,false,アバンティス インターナショナル エクイティ ETF 米国を除く先進国の大型・中型・小型企業に幅広く分散投資を行います。
AVEM,アバンティス エマージング マーケッツ エクイティ ETF,us,etf,USD,emerging,0.33,beginner,low_cost,growth,both,false,false,アバンティス エマージング マーケッツ エクイティ ETF あらゆる時価総額にわたる新興国市場の幅広いセクターおよび業種の企業に分散投資を行います。
AVL,Direxion デイリー AVGOブル2倍 ETF,us,etf,USD,single_stock,0.99,leveraged,,,lump_sum,true,false,Direxion デイリー AVGOブル2倍 ETF ブロードコム(NASDAQ: AVGO) の日々のパフォーマンスの200％の日々の投資成果を追求する。
AVS,Direxion デイリー AVGO株 ベア1倍 ETF,us,etf,USD,single_stock,0.99,inverse,,,lump_sum,false,true,Direxion デイリー AVGO株 ベア1倍 ETF ブロードコム(NASDAQ: AVGO) の普通株式の日々のパフォーマンスの-100％の日々の投資成果を追求する。
BBAG,JPモルガン ベータビルダーズ 米国総合債券市場ETF,us,etf,USD,bond,0.3,beginner,low_cost,,both,false,false,JPモルガン ベータビルダーズ 米国総合債券市場ETF インデックス運用のアプローチで米国の投資適格債券市場に投資するETF。Bloomberg U.S. Aggregate Bond Indexと同等の投資リターンの獲得を目指します。
BBJP,JPモルガン ベータビルダーズ 日本株式ETF,us,etf,USD,japan_equity,0.19,beginner,low_cost,growth,both,false,false,JPモルガン ベータビルダーズ 日本株式ETF インデックス運用のアプローチで日本の株式市場に幅広く投資するETF。Morningstar? Japan Target Market Exposure Indexと同等の投資リターンの獲得を目指します。
BBHY,JPモルガン ベータビルダーズ 米国ハイイールドETF,us,etf,USD,bond,0.07,beginner,low_cost,,both,false,false,JPモルガン ベータビルダーズ 米国ハイイールドETF インデックス運用のアプローチで米国のハイイールド債券市場に投資するETF。ICE BofA US High Yield Indexと同等の投資リターンの獲得を目指します。
BBUS,JPモルガン ベータビルダーズ 米国株式ETF,us,etf,USD,total_us,0.02,beginner,low_cost,growth,both,false,false,JPモルガン ベータビルダーズ 米国株式ETF インデックス運用のアプローチで米国の大型株と中型株へアクセスし、米国株式市場全体の約85%に効率的かつ低コストで投資するETF。Morningstar? US Target Market Exposure Indexと同等の投資リターンの獲得を目指します。
BBH,ヴァンエック バイオテクETF,us,etf,USD,sector,0.35,beginner,low_cost,growth,both,false,false,ヴァンエック バイオテクETF ヴァンエック ベクトル米国上場バイオテク25指数にできるだけ連動する投資成果をあげることを目標とする。
BGLD,FT Vest ゴールド戦略 四半期バッファーETF,us,etf,USD,commodity,0.91,beginner,low_cost,,both,false,false,FT Vest ゴールド戦略 四半期バッファーETF Vest Financial LLC をサブアドバイザーとして、フレックス・オプション取引を通じて SPDR Gold Trust（GLD）の価格動向に基づく投資成果を目指す。 3か月間において、GLDの上昇には上限がある一方、5％から15％の下落範囲に対するバッファーが設定される（経費控除前）。
BIV,バンガード・米国中期債券ETF,us,etf,USD,bond,0.03,beginner,low_cost,,both,false,false,バンガード・米国中期債券ETF 残存期間が5～10年の米国債、政府機関債、投資適格(ムーディーズによる格付がBaa3以上)の社債および米国外の発行体による米ドル建て債券をカバーする、バークレイズ米国政府/クレジット浮動調整(5-10年)インデックスに連動したパフォーマンスを目指します。
BKCH,グローバルＸ ブロックチェーン ETF,us,etf,USD,sector,0.50,beginner,low_cost,growth,both,false,false,グローバルＸ ブロックチェーン ETF ソラクティブ・ブロックチェーン・インデックスに連動する運用実績を目指す。同指数は、ブロックチェーン技術のさらなる進歩から利益を得ることができる企業で構成される。
BLV,バンガード・米国長期債券ETF,us,etf,USD,bond,0.03,beginner,low_cost,,both,false,false,バンガード・米国長期債券ETF 残存期間が10年超の米国債、政府機関債、社債および米国政府が保証する米国外の発行体による米ドル建て債券をカバーする、バークレイズ米国政府/クレジット浮動調整(10年超)インデックスに連動したパフォーマンスを目指します。
BND,バンガード 米国トータル債券市場ETF,us,etf,USD,bond,0.03,beginner,low_cost,,both,false,false,バンガード 米国トータル債券市場ETF バークレイズ米国総合浮動調整インデックスのパフォーマンスへの連動を目指します。パワーシェアーズ グローバルウォーター ポートフォリオは、従来のETFと異なる、インテリジェントETFであり、S&Pグローバルウォーター指数などよりも、高いパフォーマンスを目指しています。
BNDX,バンガード トータル インターナショナル債券ETF（米ドルヘッジあり）,us,etf,USD,bond,0.07,beginner,low_cost,,both,false,false,バンガード トータル インターナショナル債券ETF（米ドルヘッジあり） バークレイズ・グローバル総合（米ドル除く）浮動調整RIC基準インデックス（米ドルヘッジベース）のパフォーマンスに連動した成果を目指す。
BMNU,TRex 2倍 ロング BMNR Daily Target ETF,us,etf,USD,single_stock,1.50,leveraged,,,lump_sum,true,false,TRex 2倍 ロング BMNR Daily Target ETF ビットマイン・イマーション・テクノロジーズ(NYSE:BMNR)の日次変動率の2倍（200％）の投資成果を目指す。
BOTZ,グローバルX ロボット&AI・ETF,us,etf,USD,sector,0.69,beginner,low_cost,growth,both,false,false,グローバルX ロボット&AI・ETF 「Indxx・グローバル・ロボティックス&アーティフィシャル・インテリジェンス・セマティック・インデックス」の価格およびイールドのパフォーマンス(手数料および費用控除前)に連動する投資成果を提供することを目指す。
BRF,ヴァンエック ベクトル ブラジル小型株ETF,us,etf,USD,small_us,0.66,beginner,low_cost,growth,both,false,false,ヴァンエック ベクトル ブラジル小型株ETF ヴァンエック・べクトル・ブラジル小型株インデックスの価格と利回り（手数料や経費控除前）に連動するパフォーマンスを目指します。このインデックスは、ブラジルに本社があるか、主にブラジルの取引所に上場されている、あるいは売上高の50%以上をブラジル国内の売上高が占める、小型株へのエクスポージャーを提供します。したがって、当ファンドには同国への投資リスクが伴います。
BRZU,Direxion デイリー MSCI ブラジル ブル2倍 ETF,us,etf,USD,emerging,1.26,leveraged,,,lump_sum,true,false,Direxion デイリー MSCI ブラジル ブル2倍 ETF MSCI ブラジル 25/50 指数の200%のパフォーマンスに連動した成果を目指す。
BSV,バンガード・米国短期債券ETF,us,etf,USD,bond,0.03,beginner,low_cost,,both,false,false,バンガード・米国短期債券ETF 残存期間が1～5年の米国債、政府機関債、投資適格(ムーディーズによる格付がBaa3以上)の社債および米国外の発行体による米ドル建て債券をカバーする、バークレイズ米国政府/クレジット浮動調整(1-5年)インデックスに連動したパフォーマンスを目指します。
BUG,グローバルX サイバーセキュリティ ETF,us,etf,USD,sector,0.51,beginner,low_cost,growth,both,false,false,グローバルX サイバーセキュリティ ETF Indxx・サイバーセキュリティ・インデックス（ Indxx Cybersecurity Index）の価格およびイールドのパフォーマンス（手数料および費用控除前）に連動する投資成果を提供することを目指す
BWX,ST SPDRブルームバーグ 世界国債（除く米国）ETF,us,etf,USD,bond,0.35,beginner,low_cost,,both,false,false,ST SPDRブルームバーグ 世界国債（除く米国）ETF ブルームバーグ・バークレイズ・グローバル国債（除く米国）キャップド指数の価格と利回りのパフォーマンスに、経費控除前で、概ね連動する投資成果を上げることを目標とする。
CCEF,カラモス CEF インカム&アービトラージETF,us,etf,USD,active,0.74,beginner,low_cost,,both,false,false,カラモス CEF インカム&アービトラージETF 純資産価値 (NAV) に対してディスカウント（割安）で取引される収益性の高いクローズドエンド型ファンドに投資します。
CCUP,TRex 2倍 ロング CRCL デイリー ETF,us,etf,USD,single_stock,1.50,leveraged,,,lump_sum,true,false,TRex 2倍 ロング CRCL デイリー ETF サークル(NYSE:CRCL)の日々のパフォーマンスの200%の投資成果を目指す。
CRWU,TRex 2倍 ロング CRWV デイリー ETF,us,etf,USD,single_stock,1.50,leveraged,,,lump_sum,true,false,TRex 2倍 ロング CRWV デイリー ETF コアウィーブ(NASDAQ:CRWV)の日々のパフォーマンスの200%の投資成果を目指す。
CEPI,REX クリプト エクイティ プレミアム インカムETF,us,etf,USD,style_factor,0.85,beginner,low_cost,,both,false,false,REX クリプト エクイティ プレミアム インカムETF 純資産の少なくとも80%を、BITA クリプト・アセッツ＆デジタル・ペイメント指数（BITA Crypto Assets & Digital Payments Index）を構成する証券に投資。
CHAU,Direxion デイリー CSI 300 中国A株 ブル2倍 ETF,us,etf,USD,china,1.05,leveraged,,,lump_sum,true,false,Direxion デイリー CSI 300 中国A株 ブル2倍 ETF CSI 300 指数の200%のパフォーマンスに連動した成果を目指す。
CIBR,ファーストトラスト（FT）ナスダック サイバーセキュリティETF,us,etf,USD,sector,0.59,beginner,low_cost,growth,both,false,false,ファーストトラスト（FT）ナスダック サイバーセキュリティETF 米国上場サイバーセキュリティ関連銘柄に投資します。
CLOU,グローバルX クラウド・コンピューティング ETF,us,etf,USD,sector,0.68,beginner,low_cost,growth,both,false,false,グローバルX クラウド・コンピューティング ETF 「Indxx・グローバル・クラウド・コンピューティング・インデックス」の価格およびイールドのパフォーマンス(手数料および費用控除前)に連動する投資成果を提供することを目指す。
CLIP,グローバルＸ 米国T-Bill 1-3カ月 ETF,us,etf,USD,bond,0.07,beginner,low_cost,,both,false,false,グローバルＸ 米国T-Bill 1-3カ月 ETF 残存期間が1ヶ月以上3ヶ月未満の米国政府発行の短期米国債に投資します。
CNRG,ST SPDR S&P Kensho クリーン パワー ETF,us,etf,USD,commodity,0.45,beginner,low_cost,growth,both,false,false,ST SPDR S&P Kensho クリーン パワー ETF 人工知能と定量的ウェイト付けメソドロジーを活用し、クリーン・エネルギー・セクターのイノベーション推進に寄与する商品やサービスを提供している企業（太陽光、風力、地熱、水力発電などの分野を含む）を捉える指数との連動を目指します。
CRWL,グラナイトシェアーズ 2倍 ロング CRWD デイリーETF,us,etf,USD,single_stock,1.50,leveraged,,,lump_sum,true,false,グラナイトシェアーズ 2倍 ロング CRWD デイリーETF クラウドストライク普通株式の日次変化率の200％の投資成果を追求する。
CRCG,レバレッジシェアーズ 2倍 CRCL Daily ETF,us,etf,USD,single_stock,0.75,leveraged,,,lump_sum,true,false,レバレッジシェアーズ 2倍 CRCL Daily ETF サークル インターネット グループ（NYSE:CRCL）の日次変動率の2倍（200％）の投資成果を目指す
CRWG,レバレッジシェアーズ 2倍 CRWV Daily ETF,us,etf,USD,single_stock,0.75,leveraged,,,lump_sum,true,false,レバレッジシェアーズ 2倍 CRWV Daily ETF コアウィーブ（NASDAQ:CRWV）の日次変動率の2倍（200％）の投資成果を目指す。
CNXT,ヴァンエック ベクトル 中国AMC中小企業・創業板ETF,us,etf,USD,china,0.65,beginner,low_cost,growth,both,false,false,ヴァンエック ベクトル 中国AMC中小企業・創業板ETF 中国中小企業・創業板100指数に連動した成果を目指す。
COM,Direxion オースピス ブロード コモディティ戦略ETF,us,etf,USD,commodity,0.81,beginner,low_cost,,both,false,false,Direxion オースピス ブロード コモディティ戦略ETF オースピス・ブロード・コモディティ・インデックスに連動する投資成果を追求する。同指数は商品先物契約のポートフォリオを追跡することによって商品市場における上昇トレンドを捉えながら下落トレンド中のリスクを最小化することを目指すルール・ベースの指数である。大豆、トウモロコシ、小麦、綿花、砂糖、原油、天然ガス、ガソリン、ヒーティングオイル、銅、金及び銀などに分散投資する。
COPX,GLX コッパー マイナーズ ETF,us,etf,USD,sector,0.65,beginner,low_cost,growth,both,false,false,GLX コッパー マイナーズ ETF ソラクティブ・グローバル・コッパー・マイナーズ・インデックスの価格と利回りに概ね連動する投資成果を目指す。
CTEC,グローバルX クリーンテック ETF,us,etf,USD,sector,0.50,beginner,low_cost,growth,both,false,false,グローバルX クリーンテック ETF Indxx グローバル・クリーンテック・インデックスのパフォーマンスに連動した成果を目指す。
CURE,Direxion デイリー ヘルスケア株 ブル3倍 ETF,us,etf,USD,single_stock,0.97,leveraged,,,lump_sum,true,false,Direxion デイリー ヘルスケア株 ブル3倍 ETF The S&P（R）ヘルスケア セレクト セクター インデックスの日々のパフォーマンス（手数料・費用控除前）の300％の投資成果を目指し運用する。
CWB,ST SPDR BB コンバーチブル債券ETF,us,etf,USD,bond,0.40,beginner,low_cost,,both,false,false,ST SPDR BB コンバーチブル債券ETF ブルームバーグ・バークレイズ・米国コンバーチブル・ボンド>$500MM 指数に連動した成果を目指す。
CWEB,Direxion デイリー CSI中国インターネット指数株 ブル 2倍 ETF,us,etf,USD,china,1.32,leveraged,,,lump_sum,true,false,Direxion デイリー CSI中国インターネット指数株 ブル 2倍 ETF CSIオーバーシーズ・チャイナ・インターネット指数の日々のパフォーマンス（手数料・費用控除前）の200％の投資成果を目指し運用する。
CWI,ST SPDR MSCI 全世界株式 （除く米国）ETF,us,etf,USD,acwi,0.30,beginner,low_cost,growth,both,false,false,ST SPDR MSCI 全世界株式 （除く米国）ETF MSCIオール・カントリー・ワールド（除く米国）指数に連動した成果を目指す。
CXSE,ウィズダムツリー 中国株ニューエコノミーファンド,us,etf,USD,china,0.32,beginner,low_cost,growth,both,false,false,ウィズダムツリー 中国株ニューエコノミーファンド ウィズダムツリー中国株ニューエコノミーファンド(WisdomTree China ex-State-Owned Enterprises Fund)は、国有企業を除く中国企業へ投資することを目的とし、ウィズダムツリー・チャイナ・エックスステートオウンド・エンタープライズ・インデックス(WisdomTree China ex-State-Owned Enterprises Index)の価格及び利回りのパフォーマンス(手数料及び経費控除前)に連動する投資成果を追及する。bca
DEM,ウィズダムツリー 新興国株 高配当ファンド,us,etf,USD,emerging,0.63,beginner,low_cost,growth,both,false,false,ウィズダムツリー 新興国株 高配当ファンド ウィズダムツリー エマージング マーケッツ インデックスに連動した成果を目指す。
DES,ウィズダムツリー 米国小型株配当ファンド,us,etf,USD,small_us,0.38,beginner,low_cost,,both,false,false,ウィズダムツリー 米国小型株配当ファンド 配当支払いを行う時価総額の小さい企業の投資成果への連動を目指す。
DEW,ウィズダムツリー 世界株 高配当ファンド,us,etf,USD,dividend,0.58,beginner,low_cost,growth,both,false,false,ウィズダムツリー 世界株 高配当ファンド ウィズダムツリー グローバル エクイティ インカム インデックスに連動した成果を目指す。
DFE,ウィズダムツリー 欧州小型株配当ファンド,us,etf,USD,small_us,0.58,beginner,low_cost,growth,both,false,false,ウィズダムツリー 欧州小型株配当ファンド ウィズダムツリー ヨーロッパ スモールキャップ ディビデンド インデックスに連動した成果を目指す。
DFEN,Direxion デイリー エアロスペース・アンド・ディフェンス ブル3倍 ETF,us,etf,USD,dow_jones,0.96,leveraged,,,lump_sum,true,false,Direxion デイリー エアロスペース・アンド・ディフェンス ブル3倍 ETF ダウ・ジョーンズ米国セレクト・エアロスペース・アンド・ディフェンス指数の300%パフォーマンスに連動した成果を目指す。
DFJ,ウィズダムツリー日本小型株配当ファンド,us,etf,USD,small_us,0.58,beginner,low_cost,growth,both,false,false,ウィズダムツリー日本小型株配当ファンド ウィズダムツリー ジャパン スモールキャップ ディビデンド インデックスに連動した成果を目指す。
DGRE,ウィズダムツリー 新興国株クオリティ配当成長ファンド,us,etf,USD,emerging,0.32,beginner,low_cost,growth,both,false,false,ウィズダムツリー 新興国株クオリティ配当成長ファンド 新興国市場にて配当支払を行う成長性のある企業の投資成果への連動を目指す。
DGRS,ウィズダムツリー 米国小型株クオリティ配当成長ファンド,us,etf,USD,small_us,0.38,beginner,low_cost,,both,false,false,ウィズダムツリー 米国小型株クオリティ配当成長ファンド 米国市場にて配当支払を行う成長性のある時価総額の小さい企業の投資成果への連動を目指す。
DGRW,ウィズダムツリー 米国株クオリティ配当成長ファンド,us,etf,USD,dividend,0.28,beginner,low_cost,,both,false,false,ウィズダムツリー 米国株クオリティ配当成長ファンド 配当支払を行う米国市場にて成長性のある、時価総額の大きい企業の投資成果への連動を目指す。
DGS,ウィズダムツリー 新興国小型株配当型ファンド,us,etf,USD,small_us,0.58,beginner,low_cost,growth,both,false,false,ウィズダムツリー 新興国小型株配当型ファンド 新興国市場にて、配当支払を行う時価総額の小さい企業への投資成果への連動を目指す
DHS,ウィズダムツリー 米国株 高配当ファンド,us,etf,USD,dividend,0.38,beginner,low_cost,,both,false,false,ウィズダムツリー 米国株 高配当ファンド ウィズダムツリー ディビデンド インデックスに連動した成果を目指す。
DIA,State Street SPDR ダウ工業株平均ETF,us,etf,USD,dow_jones,0.16,beginner,low_cost,,both,false,false,State Street SPDR ダウ工業株平均ETF ダウジョーンズ工業株価平均の値動きと利回りに、経費控除前で連動する投資成果を上げることを目標とします。ダウジョーンズ工業株価平均（DJIA）は、米国を代表する30の銘柄で構成され、100年以上の歴史を持つ最も古い米国株式市場の指数です。構成銘柄の株価を単純平均する手法で、1896年5月26日から算出されています。現在、世界で最も有名な株式指数のうちの一つとして、幅広い世代の投資家から認知されています。
DIV,グローバルX スーパーディビィデンド-米国低ベータ ETF,us,etf,USD,dividend,0.45,beginner,low_cost,,both,false,false,グローバルX スーパーディビィデンド-米国低ベータ ETF Indxx スーパーディビィデンドR U.S. ロー・ボラティリティインデックスに連動する投資成果を目指します。
DJIA,グローバルX ダウ30 カバード コール ETF,us,etf,USD,dow_jones,0.60,beginner,low_cost,,both,false,false,グローバルX ダウ30 カバード コール ETF ダウ・ジョーンズ工業株価平均Cboe バイライト・V2・インデックスの価格および利回りのパフォーマンスに原則的に連動する投資成果を提供することを目指す。
DJTU,T-REX 2X ロング トランプ メディア テクノロジー グループ デイリーターゲットETF,us,etf,USD,single_stock,1.05,leveraged,,,lump_sum,true,false,T-REX 2X ロング トランプ メディア テクノロジー グループ デイリーターゲットETF トランプ メディア アンド テクノロジー(NASDAQ:DJT)の日次変動率の2 倍（200％）の投資成果を目指す。
DLN,ウィズダムツリー 米国株大型株配当ファンド,us,etf,USD,dividend,0.28,beginner,low_cost,,both,false,false,ウィズダムツリー 米国株大型株配当ファンド 米国市場にて配当支払を行う時価総額の大きい企業の投資成果への連動を目指す。
DLLL,グラナイトS 2倍 ロング DELL デイリーETF,us,etf,USD,single_stock,1.50,leveraged,,,lump_sum,true,false,グラナイトS 2倍 ロング DELL デイリーETF デル テクノロジーズ C（NYSE:DELL）普通株式の日次変動率の2 倍（200％）を目指す。
DOGG,FT Vest ダウの犬10 ターゲットインカムETF,us,etf,USD,dow_jones,0.75,beginner,low_cost,,both,false,false,FT Vest ダウの犬10 ターゲットインカムETF NYダウの配当利回り上位１０銘柄で構成される「ダウの犬」のカバードコール戦略のアクティブ運用ETF。NYダウの年間配当利回りを約8％上回ることを目指す。
DON,ウィズダムツリー 米国中型株配当ファンド,us,etf,USD,dividend,0.38,beginner,low_cost,,both,false,false,ウィズダムツリー 米国中型株配当ファンド 米国市場にて配当支払を行う時価総額の中位にあたる企業に投資することを目的とし、投資成果への連動を目指す。
DPST,Direxion デイリー 地方銀行 ブル3倍 ETF,us,etf,USD,sector,0.92,leveraged,,,lump_sum,true,false,Direxion デイリー 地方銀行 ブル3倍 ETF S&P 地方銀行セレクト・インダストリー指数の300%パフォーマンスに連動した成果を目指す。
DRIP,Direxion デイリー S&P 石油・ガス探鉱・生産 ベア2 倍 ETF,us,etf,USD,commodity,1.00,inverse,,,lump_sum,true,true,Direxion デイリー S&P 石油・ガス探鉱・生産 ベア2 倍 ETF S&P Oil & Gas Exploration & Production Select Industry Indexに連動した成果を目指す。
DRIV,グローバルＸ 自動運転&EV ETF,us,etf,USD,sector,0.68,beginner,low_cost,growth,both,false,false,グローバルＸ 自動運転&EV ETF 自動運転技術、EV、EVに使用される部品および材料の開発に携わる企業に投資します。
DRN,Direxion デイリー米国REITブル3倍 ETF,us,etf,USD,reit,0.96,leveraged,,,lump_sum,true,false,Direxion デイリー米国REITブル3倍 ETF 米国IMI不動産25/50指数の300%のパフォーマンスに連動した成果を目指す。
DRNZ,REX ドローン ETF,us,etf,USD,,0.65,beginner,low_cost,growth,both,false,false,REX ドローン ETF ベッタファイ・ドローン・インデックス（VettaFi Drone IndexSM）の価格及び利回り（手数料及び費用控除前）に概ね連動する投資成果を目指す。
DRV,Direxion デイリー米国REITベア3倍 ETF,us,etf,USD,reit,0.95,inverse,,,lump_sum,true,true,Direxion デイリー米国REITベア3倍 ETF 米国IMI不動産25/50指数の値動きの反対方向の300%のパフォーマンスに連動した成果を目指す。
DUST,Direxion デイリー 金鉱株 ベア2倍 ETF,us,etf,USD,commodity,0.92,inverse,,,lump_sum,true,true,Direxion デイリー 金鉱株 ベア2倍 ETF NYSE Arca ゴールド マイナーズ インデックスの値動きの反対方向の200%のパフォーマンスに連動した成果を目指す。
DVY,iシェアーズ 好配当株式 ETF,us,etf,USD,dow_jones,0.38,beginner,low_cost,growth,both,false,false,iシェアーズ 好配当株式 ETF ダウ・ジョーンズ セレクト・ディビデンド・インデックスの価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。
DXJ,ウィズダムツリー日本株米ドルヘッジ付 ファンド,us,etf,USD,japan_equity,0.48,beginner,low_cost,growth,both,false,false,ウィズダムツリー日本株米ドルヘッジ付 ファンド ウィズダムツリー ジャパン ヘッジド エクイティ インデックスに連動した成果を目指す。
EBIZ,グローバル X eコマースETF,us,etf,USD,sector,0.50,beginner,low_cost,growth,both,false,false,グローバル X eコマースETF ソラクティブ e コマース・インデックス（Solactive E-commerce Index）の価格およびイールドのパフォーマンス（手数料および費用控除前）に連動する投資成果を提供することを目指す
EBND,ST SPDR ブルームバーグ 新興国債券（現地通貨建て） ETF,us,etf,USD,emerging,0.30,beginner,low_cost,,both,false,false,ST SPDR ブルームバーグ 新興国債券（現地通貨建て） ETF ブルームバーグ・バークレイズ・EMローカル・カレンシー・ガバメント・ダイバーシファイド 指数に連動した成果を目指す。
EDC,Direxion デイリー新興国株ブル3倍 ETF,us,etf,USD,emerging,1.28,leveraged,,,lump_sum,true,false,Direxion デイリー新興国株ブル3倍 ETF MSCI新興国株価指数の300%のパフォーマンスに連動した成果を目指す。
HEAL,グローバルX ヘルステック ETF,us,etf,USD,sector,0.50,beginner,low_cost,growth,both,false,false,グローバルX ヘルステック ETF デジタルヘルス・遠隔治療及び関連アプリケーションのさらなる発展で恩恵を受ける企業への投資を目指すETF
EDV,バンガード 超長期米国債ETF,us,etf,USD,bond,0.05,beginner,low_cost,growth,both,false,false,バンガード 超長期米国債ETF 残存期間20～30年の米国債ストリップス債をカバーする、バークレイズ米国債STRIPS(20-30年)均等額面インデックスに連動したパフォーマンスを目指します。
EDZ,Direxion デイリー新興国株ベア3倍 ETF,us,etf,USD,emerging,0.95,inverse,,,lump_sum,true,true,Direxion デイリー新興国株ベア3倍 ETF MSCI新興国株価指数の値動きの反対方向の300%のパフォーマンスに連動した成果を目指す。
EEM,iシェアーズ MSCI エマージング・マーケット ETF,us,etf,USD,emerging,0.72,beginner,low_cost,growth,both,false,false,iシェアーズ MSCI エマージング・マーケット ETF MSCIエマージング・マーケット・インデックスによって代表されるエマージング市場で取引される証券の価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を提供することを目的としています。
