symbol,name,market,asset_type,currency,broker,tradability,nisa_category,investment_style,is_sbi_supported,is_active,is_leveraged,is_inverse,theme,sector,aliases,dividend_category,market_cap_tier,index_family,expense_ratio_pct,complexity,tags,data_quality,risk_band,metadata_source,metadata_as_of,metadata_updated_at,yahoo_symbol,yahoo_symbol_status,yahoo_symbol_checked_at,yahoo_symbol_note,country,exchange,local_symbol,primary_listing_country,trading_currency,settlement_currency,quote_currency,fx_pair_to_jpy,foreign_market_group,country_risk_band,liquidity_tier,asset_class,region_exposure,is_hedged,smai_theme_tags,foreign_data_quality,foreign_data_quality_reasons,sbi_foreign_tradability,sbi_foreign_tradability_as_of,sbi_foreign_tradability_source,sbi_tradability_status,sbi_tradability_verified,sbi_tradability_as_of,sbi_tradability_source,nisa_growth_status,nisa_growth_verified,nisa_growth_as_of,nisa_growth_source,nisa_growth_eligible,nisa_tsumitate_status,nisa_tsumitate_verified,nisa_tsumitate_as_of,nisa_tsumitate_source,nisa_tsumitate_eligible,source_section,source_market,source_description,source_expense_ratio_pct,source_management_company,source_nisa_growth,source_url
AIPI,REX AI エクイティ プレミアム インカムETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,false,false,balanced,index,AIPI;REX AI エクイティ プレミアム インカムETF;純資産の少なくとも80%を、BITA AI・リーダーズ・セレクト指数（BITA AI Leaders Select Index）を構成する証券に投資。;レックス・シェアーズ;NASDAQ,dividend,,,,thematic,"index,dividend,high_dividend",WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AIPI,generated,,,United States,NASDAQ,AIPI,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,global,unknown,"index,dividend,high_dividend",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,純資産の少なくとも80%を、BITA AI・リーダーズ・セレクト指数（BITA AI Leaders Select Index）を構成する証券に投資。,,レックス・シェアーズ,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
ALTY,グローバルX スーパーディビィデンド-オルタナティブズ ETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,false,false,index,index,ALTY;グローバルX スーパーディビィデンド-オルタナティブズ ETF;Indxx スーパーディビィデンド オルタナティブ インデックスに連動した成果を目指す。;グローバルエックス・マネジメント;NASDAQ,none,,,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,ALTY,generated,,,United States,NASDAQ,ALTY,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,global,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,Indxx スーパーディビィデンド オルタナティブ インデックスに連動した成果を目指す。,,グローバルエックス・マネジメント,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AMAU,レバレッジシェアーズ2倍AMATデイリーETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,true,false,index,index,AMAU;レバレッジシェアーズ2倍AMATデイリーETF;アプライド マテリアルズ(AMAT) の日々の変動の２倍（200％）のレバレッジを効かせた日次の投資成果（手数料および費用の控除前）を追求する。;レバレッジシェアーズ;Cboe,none,,,,advanced,"index,trading",WARN,HIGH,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AMAU,generated,,,United States,Cboe,AMAU,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,global,unknown,"index,trading",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio;leveraged_or_inverse_etf,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,Cboe,アプライド マテリアルズ(AMAT) の日々の変動の２倍（200％）のレバレッジを効かせた日次の投資成果（手数料および費用の控除前）を追求する。,,レバレッジシェアーズ,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AMZD,Direxion デイリー AMZN株 ベア 1倍ETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,false,true,index,index,AMZD;Direxion デイリー AMZN株 ベア 1倍ETF;アマゾン・ドットコム・インク普通株式の日々のパフォーマンスの-100％の日々の投資成果を追求する。;Direxion Investments;NASDAQ,none,,single_stock,,advanced,"index,trading",WARN,HIGH,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AMZD,generated,,,United States,NASDAQ,AMZD,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,global,unknown,"index,trading",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio;leveraged_or_inverse_etf;single_stock_etf,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,アマゾン・ドットコム・インク普通株式の日々のパフォーマンスの-100％の日々の投資成果を追求する。,,Direxion Investments,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AMZU,Direxion デイリー AMZN株 ブル 2倍 ETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,true,false,index,index,AMZU;Direxion デイリー AMZN株 ブル 2倍 ETF;アマゾン・ドットコム・インク普通株式の日々のパフォーマンスの150％の日々の投資成果を追求する。;Direxion Investments;NASDAQ,none,,single_stock,,advanced,"index,trading",WARN,HIGH,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AMZU,generated,,,United States,NASDAQ,AMZU,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,global,unknown,"index,trading",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio;leveraged_or_inverse_etf;single_stock_etf,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,アマゾン・ドットコム・インク普通株式の日々のパフォーマンスの150％の日々の投資成果を追求する。,,Direxion Investments,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AUAU,グローバルX 金ビジネス ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,commodity,index,AUAU;グローバルX 金ビジネス ETF;NYSE® Arca ゴールドマイナー指数®の手数料および諸費用控除前の価格および利回りに概ね連動した投資成果を提供することを目指す。;グローバルエックス・マネジメント;NYSE,none,,commodity,,standard,"index,commodity",WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AUAU,generated,,,United States,NYSE,AUAU,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,commodity,us,unknown,"index,commodity",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE,NYSE® Arca ゴールドマイナー指数®の手数料および諸費用控除前の価格および利回りに概ね連動した投資成果を提供することを目指す。,,グローバルエックス・マネジメント,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AVUS,アバンティス US エクイティ ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,index,index,AVUS;アバンティス US エクイティ ETF;高リターンが期待できる米国の大型・中型・小型企業に幅広く分散投資を行います。;アメリカン・センチュリー・インベストメンツ;NYSE Arca,none,,,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AVUS,generated,,,United States,NYSEARCA,AVUS,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,us,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE Arca,高リターンが期待できる米国の大型・中型・小型企業に幅広く分散投資を行います。,,アメリカン・センチュリー・インベストメンツ,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AVGU,グラナイトS 2倍 ロング AVGO デイリーETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,true,false,index,index,AVGU;グラナイトS 2倍 ロング AVGO デイリーETF;ブロードコム(NASDAQ: AVGO)の日次変動率の2倍（200％）の投資成果を目指す。;グラナイトシェアーズ;NASDAQ,none,,nasdaq100,,advanced,"index,trading",WARN,HIGH,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AVGU,generated,,,United States,NASDAQ,AVGU,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,us,unknown,"index,trading",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio;leveraged_or_inverse_etf,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,ブロードコム(NASDAQ: AVGO)の日次変動率の2倍（200％）の投資成果を目指す。,,グラナイトシェアーズ,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AVUV,アバンティス US スモールキャップ バリュー ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,index,index,AVUV;アバンティス US スモールキャップ バリュー ETF;高リターンが期待できる米国小型企業に投資します。集中投資リスクを軽減するために、幅広いセクターおよび業種の企業に分散投資を行います。;アメリカン・センチュリー・インベストメンツ;NYSE Arca,none,,sector,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AVUV,generated,,,United States,NYSEARCA,AVUV,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,us,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE Arca,高リターンが期待できる米国小型企業に投資します。集中投資リスクを軽減するために、幅広いセクターおよび業種の企業に分散投資を行います。,,アメリカン・センチュリー・インベストメンツ,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AVDE,アバンティス インターナショナル エクイティ ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,index,index,AVDE;アバンティス インターナショナル エクイティ ETF;米国を除く先進国の大型・中型・小型企業に幅広く分散投資を行います。;アメリカン・センチュリー・インベストメンツ;NYSE Arca,none,,msci_world,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AVDE,generated,,,United States,NYSEARCA,AVDE,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,us,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE Arca,米国を除く先進国の大型・中型・小型企業に幅広く分散投資を行います。,,アメリカン・センチュリー・インベストメンツ,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AVEM,アバンティス エマージング マーケッツ エクイティ ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,index,index,AVEM;アバンティス エマージング マーケッツ エクイティ ETF;あらゆる時価総額にわたる新興国市場の幅広いセクターおよび業種の企業に分散投資を行います。;アメリカン・センチュリー・インベストメンツ;NYSE Arca,none,,emerging,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AVEM,generated,,,United States,NYSEARCA,AVEM,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,emerging,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE Arca,あらゆる時価総額にわたる新興国市場の幅広いセクターおよび業種の企業に分散投資を行います。,,アメリカン・センチュリー・インベストメンツ,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
AVL,Direxion デイリー AVGOブル2倍 ETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,true,false,index,index,AVL;Direxion デイリー AVGOブル2倍 ETF;ブロードコム(NASDAQ: AVGO) の日々のパフォーマンスの200％の日々の投資成果を追求する。;Direxion Investments;NASDAQ,none,,nasdaq100,,advanced,"index,trading",WARN,HIGH,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,AVL,generated,,,United States,NASDAQ,AVL,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,us,unknown,"index,trading",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio;leveraged_or_inverse_etf,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,ブロードコム(NASDAQ: AVGO) の日々のパフォーマンスの200％の日々の投資成果を追求する。,,Direxion Investments,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
